Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,log_weight,weight_category,log_cost,cost_category,high_rating,low_rating,high_prior_purchases,is_repeat_customer,has_discount,high_discount,weight_cost_ratio,has_customer_calls
3,1,-0.04771131501848488,-1.4081993653114504,1.0570539972559145,-1.2504972113378683,2,0,0.0671082632955086,0.32041970252946206,0.27794964252254956,0,0.7212748608153022,0,0,1,0,0,1,0,0.15576630606532357,0
4,2,-0.9237993849488977,0.006689172101598107,-1.002824515131632,-1.2504972113378683,1,0,1.707747934305287,-1.2077375509978214,,-1,,-1,0,1,0,0,1,0,427.59110669023465,0
1,2,-0.9237993849488977,-0.7007550966049262,0.22477985083670385,-1.2504972113378683,2,1,0.0671082632955086,0.508764013888567,0.41129078179645356,0,0.20276111424357507,0,0,1,0,0,1,0,0.4153922139893196,0
3,2,-0.9237993849488977,1.4215777095146467,-1.1068587834340333,0.5087479941115881,2,0,-1.0813395064113362,0.615166319656373,0.47943793567945187,0,,-1,0,1,0,1,0,0,-5.756815676608662,0
0,0,-1.7998874548793105,1.4215777095146467,1.2859293875211975,-1.2504972113378683,1,1,1.707747934305287,0.0024358002348692388,0.002432838481994396,0,0.826772675797202,0,0,1,0,0,1,0,0.0010655623258383135,0
1,1,-0.04771131501848488,1.4215777095146467,0.9114060216325527,-0.3708746086131401,1,1,1.707747934305287,0.15347815382480082,0.1427818594187762,0,0.6478391082230026,0,0,1,0,0,1,0,0.08029594554364408,0
4,2,-1.7998874548793105,1.4215777095146467,0.7449511923487105,1.3883705968363163,1,1,1.707747934305287,-0.7319847125647576,-1.3167112574293367,-1,0.5567265852624838,0,0,1,0,1,1,0,-0.4194872130374624,0
3,2,-0.04771131501848488,-0.7007550966049262,0.22477985083670385,-1.2504972113378683,1,0,0.72336413169942,-0.3283897596523898,-0.3980771062064759,-1,0.20276111424357507,0,0,1,0,0,1,0,-0.26812145825884676,0
4,2,-1.7998874548793105,-0.7007550966049262,-1.5854164176250796,-0.3708746086131401,1,1,1.707747934305287,-1.3954703548525138,,-1,,-1,0,1,0,0,1,0,2.383722616652374,0
4,2,-0.04771131501848488,0.7141334408081224,-1.1900861980759543,1.3883705968363163,2,1,0.0671082632955086,1.3355221598545084,0.8482354891849795,0,,-1,0,1,0,1,1,0,-7.025876541130372,0
2,2,0.828376754911928,0.006689172101598107,0.3496209727995854,1.3883705968363163,2,1,-1.0813395064113362,-1.020616254647542,,-1,0.2998237921404249,0,0,1,0,1,0,0,-0.7562243587030418,1
1,2,-0.9237993849488977,0.006689172101598107,0.8281786069906316,-0.3708746086131401,1,1,0.0671082632955086,0.8310284687140486,0.6048778137495733,0,0.6033201744902142,0,0,1,0,0,1,0,0.4545663457259278,0
3,2,0.828376754911928,0.006689172101598107,-0.02490239308905937,0.5087479941115881,2,0,-0.2610196709064471,-0.5864459265145401,-0.8829670028493043,-1,-0.025217703342679906,-1,0,1,0,1,0,0,-0.6014227933266812,1
4,2,1.7044648248423406,1.4215777095146467,0.620110070385829,-0.3708746086131401,1,1,-0.7532115722093806,0.9692291647113139,0.6776421792286123,0,0.4824940916187678,0,0,1,0,0,0,0,0.5982489600107801,1
4,1,-0.04771131501848488,0.006689172101598107,1.0986677045768751,1.8281818981986804,2,1,-0.09695570380546925,-1.5355055733630172,,-1,0.741302717003831,0,0,1,0,1,0,0,-0.7316573128820314,0
0,2,-0.04771131501848488,0.7141334408081224,0.6825306313672698,-0.3708746086131401,1,1,0.23117223039648643,-0.18774303363747377,-0.20793852784609762,-1,0.5202989882356688,0,0,1,0,0,1,0,-0.11158372402700847,0
4,0,-0.04771131501848488,-1.4081993653114504,-0.44103946629866475,-0.3708746086131401,2,1,-0.5891476051084028,0.3051320149191451,0.2663041965158247,0,-0.5816764099270779,-1,0,1,0,0,0,0,0.5458918770143149,0
0,2,-0.04771131501848488,0.7141334408081224,0.39123468012054596,1.3883705968363163,2,0,-0.2610196709064471,-1.1728816232462989,,-1,0.33019161195349156,0,0,1,0,1,0,0,-0.8430508813543035,0
3,0,-0.9237993849488977,0.7141334408081224,0.8281786069906316,-0.3708746086131401,1,0,-0.9172755393103584,-0.7723442078559943,-1.4799204743271022,-1,0.6033201744902142,0,0,1,0,0,0,0,-0.4224664947410973,0
4,2,1.7044648248423406,-0.7007550966049262,-0.7947559785268293,-1.2504972113378683,1,1,1.707747934305287,-1.6070519513793005,,-1,-1.5835556590973576,-1,0,1,0,0,1,0,-7.829957432350218,1
2,0,-1.7998874548793105,1.4215777095146467,0.932212875293033,0.5087479941115881,1,0,1.707747934305287,-0.942343294082719,-2.8532487178301036,-1,0.6586659136196117,0,0,1,0,1,1,0,-0.48770159133724145,0
4,2,0.828376754911928,0.7141334408081224,1.015440289934954,-0.3708746086131401,2,0,1.707747934305287,-0.5803308514704133,-0.8682886197323937,-1,0.7008376777008428,0,0,1,0,0,1,0,-0.28794246813888136,1
0,2,-0.9237993849488977,0.006689172101598107,0.9530197289535133,-0.3708746086131401,2,1,-0.09695570380546925,0.26660704214114633,0.23634170496247747,0,0.6693767537142369,0,0,1,0,0,0,0,0.1365101633069536,0
0,2,-0.04771131501848488,-0.7007550966049262,-1.3773478810202768,1.3883705968363163,1,0,-0.9172755393103584,1.3287955773059688,0.8453512143174357,0,,-1,0,1,0,1,0,0,-3.5214072852699174,0
3,2,0.828376754911928,1.4215777095146467,-0.02490239308905937,-1.2504972113378683,1,0,-0.9172755393103584,0.43660612836787094,0.36228347653271115,0,-0.025217703342679906,-1,0,1,0,0,0,0,0.4477563325696356,1
4,2,-0.9237993849488977,0.7141334408081224,-0.9404039541501912,-1.2504972113378683,2,0,-0.09695570380546925,0.39502361806780883,0.3329113456445677,0,-2.820166051913612,-1,0,1,0,0,0,0,6.628352811582986,0
1,2,0.828376754911928,0.7141334408081224,1.1194745582373553,1.8281818981986804,2,0,1.707747934305287,-0.41216628775692676,-0.5313111733873221,-1,0.7511682080760216,0,0,1,0,1,1,0,-0.19446625870314843,1
3,2,-0.04771131501848488,-0.7007550966049262,-0.5866874419220266,-0.3708746086131401,1,1,1.707747934305287,0.18894558908073616,0.17306685474457767,0,-0.8835511730289572,-1,0,1,0,0,1,0,0.45714940276528127,0
4,0,0.828376754911928,0.7141334408081224,-1.4189615883412374,-1.2504972113378683,0,1,-0.2610196709064471,1.0438330802496607,0.7148270057238857,0,,-1,0,1,0,0,0,0,-2.4914768066982687,1
0,1,-0.9237993849488977,1.4215777095146467,-0.1289366613914607,-1.2504972113378683,1,1,-1.2454034735123143,0.3051320149191451,0.2663041965158247,0,-0.1380405853607735,-1,0,1,0,0,0,0,0.3502983094278441,0
4,2,0.828376754911928,-1.4081993653114504,0.932212875293033,-0.3708746086131401,2,0,-0.42508363800742494,1.2725368869000024,0.8208967787969487,0,0.6586659136196117,0,0,1,0,0,0,0,0.6585904188776373,1
4,0,0.828376754911928,0.7141334408081224,1.4523842168050396,1.8281818981986804,2,0,1.707747934305287,-0.03180862001224075,-0.03232550464800923,-1,0.8970607010697667,0,0,1,0,1,1,0,-0.012970487982376981,1
3,2,-0.04771131501848488,-1.4081993653114504,-0.44103946629866475,-1.2504972113378683,2,0,1.707747934305287,-0.09785143048881002,-0.10297606127317037,-1,-0.5816764099270779,-1,0,1,0,0,1,0,-0.17505964122521425,0
1,0,0.828376754911928,0.006689172101598107,0.3080072654786249,1.8281818981986804,2,0,1.707747934305287,-0.2886417718655657,-0.34057913902357423,-1,0.2685048076668467,0,0,1,0,1,1,0,-0.2206729117517143,1
4,2,1.7044648248423406,0.006689172101598107,1.3067362411816779,0.5087479941115881,2,0,1.707747934305287,-0.6738914996455532,-1.1205251298156258,-1,0.8358336428685926,0,0,1,0,1,1,0,-0.29214068241297364,1
3,2,2.5805528947727536,1.4215777095146467,1.702066460730803,1.3883705968363163,1,1,-0.5891476051084028,-1.0407960022931602,,-1,0.9940168361010913,0,0,1,0,1,0,0,-0.385185197114532,1
2,2,-0.9237993849488977,-0.7007550966049262,-0.1289366613914607,0.5087479941115881,2,1,-0.2610196709064471,0.6934392802211959,0.5267615380248054,0,-0.1380405853607735,-1,0,1,0,1,0,0,0.7960836479800826,0
3,0,1.7044648248423406,1.4215777095146467,-1.9183260761927639,-1.2504972113378683,1,0,-0.42508363800742494,-1.166766548202172,,-1,,-1,0,1,0,0,0,0,1.2705362272183356,1
2,2,-0.04771131501848488,0.006689172101598107,-1.0652450761130727,1.3883705968363163,1,1,-0.7532115722093806,0.6310655147711027,0.48923349130001964,0,,-1,0,1,0,1,0,0,-9.672232026788306,0
1,2,0.828376754911928,1.4215777095146467,0.6825306313672698,-1.2504972113378683,1,1,0.0671082632955086,0.6329000372843407,0.4903575979593319,0,0.5202989882356688,0,0,1,0,0,1,0,0.37615959286876643,1
1,2,-0.9237993849488977,-1.4081993653114504,0.3288141191391052,-0.3708746086131401,0,1,-1.0813395064113362,0.7319642529991947,0.5492561707812917,0,0.28428690474146223,0,0,1,0,0,0,0,0.5508402134328692,0
3,2,-0.9237993849488977,-0.7007550966049262,0.8281786069906316,1.3883705968363163,1,0,1.707747934305287,-0.5607626113292077,-0.822715263378228,-1,0.6033201744902142,0,0,1,0,1,1,0,-0.3067329467618485,0
1,2,-0.9237993849488977,0.006689172101598107,-0.6699148565639477,-0.3708746086131401,0,1,1.707747934305287,-1.2945716166244219,,-1,-1.1084046473882936,-1,0,1,0,0,1,0,-3.921932393407522,0
4,0,-0.04771131501848488,0.006689172101598107,-0.8987902468292306,-0.3708746086131401,2,0,-1.2454034735123143,0.6035476770725322,0.47221847283816454,0,-2.290560151567332,-1,0,1,0,0,0,0,5.963335134847894,0
3,1,-0.9237993849488977,0.006689172101598107,0.16235928985526304,-1.2504972113378683,2,1,0.0671082632955086,-0.9570194741886233,-3.1470081539808867,-1,0.1504518101686032,0,0,1,0,0,1,0,-0.8233422165944846,0
3,2,-0.9237993849488977,-1.4081993653114504,-1.5021890029831584,1.3883705968363163,2,0,-0.09695570380546925,-1.3973048773657517,,-1,,-1,0,1,0,1,0,0,2.7824282671769542,0
4,2,0.828376754911928,0.006689172101598107,-0.44103946629866475,1.3883705968363163,1,1,-0.2610196709064471,0.7552015381668764,0.5625836868869386,0,-0.5816764099270779,-1,0,1,0,1,0,0,1.3510820400253822,1
0,0,-0.9237993849488977,0.7141334408081224,-1.5646095639645992,-0.3708746086131401,1,1,0.3952361974974643,-1.1582054431403945,,-1,,-1,0,1,0,0,1,0,2.0513386897091483,0
4,2,-0.9237993849488977,-0.7007550966049262,-0.690721710224428,-1.2504972113378683,0,1,0.0671082632955086,0.6200583796916745,0.48246218544169384,0,-1.1735137932335638,-1,0,1,0,0,1,0,2.004855821408028,0
0,2,-0.04771131501848488,0.7141334408081224,0.7657580460091908,-1.2504972113378683,2,1,0.0671082632955086,0.8934022341641418,0.6383753346866813,0,0.568580086005668,0,0,1,0,0,1,0,0.5059595997216776,0
3,2,-0.9237993849488977,-0.7007550966049262,0.7241443386882302,-0.3708746086131401,2,0,-0.2610196709064471,0.29779392486619294,0.2606658420922586,0,0.5447308918739396,0,0,1,0,0,0,0,0.17271983451963285,0
2,2,0.828376754911928,1.4215777095146467,-1.2733136127178755,1.8281818981986804,2,0,1.707747934305287,-1.3991393998789898,,-1,,-1,0,1,0,1,1,0,5.119172023543642,1
1,2,0.828376754911928,0.7141334408081224,0.3704278264600657,-0.3708746086131401,2,1,1.707747934305287,-0.2990373994405812,-0.3553007449265425,-1,0.3151229731777705,0,0,1,0,0,1,0,-0.2182073318031062,1
2,1,-0.04771131501848488,0.006689172101598107,-0.6283011492429872,-0.3708746086131401,1,1,-0.2610196709064471,1.2743714094132406,0.8217037106694343,0,-0.9896712935400117,-1,0,1,0,0,0,0,3.428505110569533,0
4,2,-0.9237993849488977,-1.4081993653114504,-0.1289366613914607,-0.3708746086131401,2,1,-0.7532115722093806,0.6023246620637068,0.47145548857754616,0,-0.1380405853607735,-1,0,1,0,0,0,0,0.6914820488552267,0
1,2,0.828376754911928,0.006689172101598107,-0.42023261263818446,-0.3708746086131401,0,1,1.707747934305287,-0.615186779221936,-0.9549972032494407,-1,-0.54512831215898,-1,0,1,0,0,1,0,-1.0610924184978625,1
4,1,1.7044648248423406,-1.4081993653114504,1.3899636558235988,1.3883705968363163,1,0,-1.0813395064113362,-1.4945345705673676,,-1,0.8712781590594265,0,0,1,0,1,0,0,-0.6253377815707161,1
4,2,-0.9237993849488977,0.7141334408081224,1.2235088265397567,-0.3708746086131401,2,1,0.0671082632955086,0.9166395193318235,0.6505734022139668,0,0.7990865006210708,0,0,1,0,0,1,0,0.4122491030351815,0
0,0,-0.04771131501848488,0.7141334408081224,0.8697923143115922,-0.3708746086131401,2,0,-0.2610196709064471,-0.7075244123882505,-1.229374076949714,-1,0.6258273628332108,0,0,1,0,0,0,0,-0.37839732625531847,0
1,2,-0.04771131501848488,-1.4081993653114504,0.49526894842294733,-0.3708746086131401,1,1,-1.0813395064113362,0.39624663307663416,0.3337876599939858,0,0.40230608927350225,0,0,1,0,0,0,0,0.2650002419260786,0
4,2,0.828376754911928,-1.4081993653114504,-0.42023261263818446,-1.2504972113378683,1,1,0.0671082632955086,0.9735097172422027,0.6798135399709191,0,-0.54512831215898,-1,0,1,0,0,1,0,1.6791384587395985,1
0,1,0.828376754911928,-0.7007550966049262,1.2859293875211975,1.3883705968363163,1,1,-0.09695570380546925,-1.4168731175069575,,-1,0.826772675797202,0,0,1,0,1,0,0,-0.6198236591390855,1
4,2,0.828376754911928,1.4215777095146467,0.3288141191391052,-0.3708746086131401,1,1,1.707747934305287,-0.786408880457486,-1.5436917479358652,-1,0.28428690474146223,0,0,1,0,0,1,0,-0.5918125561210731,1
3,0,0.828376754911928,0.006689172101598107,-1.2316999053969149,-1.2504972113378683,1,1,-0.09695570380546925,0.681820637637355,0.5198769195016482,0,,-1,0,1,0,0,0,0,-2.9426884593213716,1
2,2,-0.04771131501848488,1.4215777095146467,-0.3786189053172239,-0.3708746086131401,2,0,1.707747934305287,0.14614006377184868,0.13639983052053228,0,-0.4758107062343504,-1,0,1,0,0,1,0,0.23518588676479654,0
2,2,-0.9237993849488977,-0.7007550966049262,-0.690721710224428,-0.3708746086131401,1,0,-0.5891476051084028,1.4107375828972677,0.8799327516732283,0,-1.1735137932335638,-1,0,1,0,0,0,0,4.5613857471889485,0
3,0,-0.9237993849488977,0.006689172101598107,-0.6699148565639477,-0.3708746086131401,0,1,0.5593001645984421,-1.060364242434366,,-1,-1.1084046473882936,-1,0,1,0,0,1,0,-3.2123961454199503,0
2,2,2.5805528947727536,0.7141334408081224,1.9725555583170464,0.5087479941115881,2,0,-0.42508363800742494,-1.0768749450535082,,-1,1.0894220401792134,0,0,1,0,1,0,0,-0.36227243660441316,1
2,2,-0.04771131501848488,-1.4081993653114504,-1.0236313687921121,1.8281818981986804,1,0,-1.0813395064113362,1.2841555294838434,0.8259963846959865,0,,-1,0,1,0,1,0,0,-54.341140404549,0
